,data_filepath,topics,alpha,eta,iterations,passes,decay,coherence
164,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.01,100,1,0.5,0.18491809428595962
165,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.01,100,1,0.99,0.13921055189584772
166,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.01,100,10,0.5,0.37586314706977425
167,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.01,100,10,0.99,0.19920676412836671
168,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,auto,50,1,0.5,0.19018493565521238
169,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,auto,50,1,0.99,0.1406915008524586
170,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,auto,50,10,0.5,0.41007979632661473
171,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,auto,50,10,0.99,0.19886884507976252
172,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,auto,100,1,0.5,0.19322587720609924
173,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,auto,100,1,0.99,0.14133510397739982
174,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,auto,100,10,0.5,0.4112280565933679
175,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,auto,100,10,0.99,0.20508441432229452
176,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.001,50,1,0.5,0.19366707359362417
177,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.001,50,1,0.99,0.1398845809267803
178,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.001,50,10,0.5,0.3774832130540406
179,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.001,50,10,0.99,0.19847987779082701
180,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.001,100,1,0.5,0.17560488918585834
181,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.001,100,1,0.99,0.1408894428208756
182,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.001,100,10,0.5,0.360853034884116
183,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.001,100,10,0.99,0.1960664271362097
184,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.01,50,1,0.5,0.1925469472460547
185,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.01,50,1,0.99,0.1421660360748613
186,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.01,50,10,0.5,0.3787176413928044
187,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.01,50,10,0.99,0.20379185685881354
188,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.01,100,1,0.5,0.1749561787657612
189,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.01,100,1,0.99,0.1409319195681836
